,Vedio Urls,No of Views,Date Created,NO of Comments,comments,Likes,Dislikes
0,https://www.youtube.com/watch?v=8x94yImf1C8,4668950,"Jul 12, 2020",20,"['Pottodiki oka like vesukondi \n  E episode super chesindu 😂', 'Riyaz కామెడీ నచినవల్ like kotandi', 'రియాజ్ పర్ఫామెన్స్ నచ్చినట్లయితే ఒక లైక్ వేసుకోండి ఇక్కడ ❤👊👌🙏', 'సద్దమ్  షాట్  డైలాగ్ కు ఒక  like వేసుకోండి😀😀😀😀', 'Saddam Hussein oka like vesukondi', 'I am not able to see Episode 17 of Gully boyz, anyone share the link?', 'అంతా బాగుంది అయినా కంటెంట్ తో కూడిన కామెడీ చేస్తే మీకు తిరుగులేదు', ""Total Jabardasth show skits kanna gully boy's skits baguntai...."", 'మల్టీ టాలెంట్  రియాజ్', 'Pottodi Dance ki Oka Like Yeskondi 👍', 'So irritating bhanu overactionnn in middle of the skit', 'Entry song ko like', 'Gully boys skit is always hit', 'Riyaz always performs sincerely...well done Riyaz...fan of you', 'బర్రె పాలివ్వట్లేదు 😀😀😀\nగంటకు ముందు 😃😃😃😃\nగంట లోపల 😆😆😆😆😆\nసూపర్ వావ్ 👉................. ♥️', ""Saddam Anna me mida chala expectations petkunnam, let's see next week please don't disappoint us"", 'E skit ki pottodu daimond', 'హల్లో సార్ అన్ని స్కిట్ లు కలిసి అప్లోడ్ చేసేలా చర్యలు తీసుకోవాలని కోరుకుంటున్నా.', 'Jabardasth lo okka skit kooda ee range lo ledu. Zeetv, pay these folks good amount. These folks alone are creating the value for your show.', 'సద్దాం హుస్సేన్ కు ఒక లైక్ వేసుకోండి 🥰🥰💓💓👌👌👌']",76K,5.2K
1,https://www.youtube.com/watch?v=Y2r0gJYsaHg,1691,"Jul 18, 2009",0,no Comments ,7,0
2,https://www.youtube.com/watch?v=g22-51Oz3L8,63205782,"Aug 9, 2019",20,"['రానున్న రోజుల్లో ఇలాంటి పాటలకి మంచి ఆదరణ ఉంటుంది . నేను చెప్పింది కరెక్ట్ అనేవారు ఒక లైక్ వేసుకోండి', 'Janu fans like kottandi super song', 'Dislike enduku kottaru ra babu, ammayilu battal full ga veskunnarani   ahh enduku ra meeru thu 💦', 'మన తెలంగాణ హీరోయిన్ ల expressions ఎంతమందికి నచ్చింది \nఒక like here', 'Specially palli vodilo ledi pillala step tooo awesome nd in the nyt natyam step also...........', 'సాంగ్ వింటూ కామెంట్స్ చదివే\nవాళ్ళు లైక్ వేసుకోండి... సాంగ్ సూపర్ కదా.💕💞💕💞💕🎹🎹🎹🎹🥁🥁', 'Blue sarry\nMadam sir madam anthe', 'July 2020 lo vintunna vallu yenta mandho oka like vesukondhi', 'Song super ✔️', 'Super  I   Love', 'Super 🙂🙂🙂😍😍😍❤❤❤', 'Fan of spoorthi jithender sister ! 🎧🎧🎧🎧🎧', 'Super  song 🙏🙏', 'About ❤️🖤🔴♈♊📴', 'ఈ పాట లో డాన్స్ నచ్ఛిన వాళ్ళు\nఒక్క లైక్ చేసుకొండి', 'Konchem mangli voice laga undi', 'Nice 😍😍😍😍😍❤❤❤❤❤❤❤', 'DOP 👏👌', 'happy birthday sister', 'ఈ కరోనా టైం లో వినే వారు ఒకే ఒక్క లైక్ అన్నా...\nఈ చెల్లెళ్ళు ఇద్దరూ అదరగొట్టేశారు 🙏🙏']",189K,44K
3,https://www.youtube.com/watch?v=hauXvNQh1Fo,617,"Jun 21, 2011",0,no Comments ,4,0
4,https://www.youtube.com/watch?v=JqDNRTa641M,5463,"Oct 4, 2011",0,no Comments ,14,1
5,https://www.youtube.com/watch?v=e-wf_hfs9sY,13548,"Dec 15, 2010",20,"['@xkluziveOne Thank you so much!<3', '@musicismagic97 Thanks for your input. Gravel would collect the leftover food and waste. This is a statement in simple beauty, and ease of care,and a healthy environment for my Betta.', '@MrMomoitin No, it stays clear. A slick on the surface would be from proteins. I change water often, siphon out all debris, and use a cup to skim the surface.', '@Cupidthefish Stones were added later. Then a fine sprinkling of moon sand was later used. The fish has been gone for awhile now.=( It depressed me without him, so I sold the tank before Christmas. I just have the 90 w/ fancy goldfish. If you check my other videos, you can see it. Thanks for the comment. Zen was a wonderful fish. He is greatly missed.', '@MacMike1000  Hello, I am not sure of the artist. It is one from here. You go through a list, none are any I have heard of. Your channel is about selling computer parts? DH might be interested. As you can see, my thing is my tanks & birds.=) Cheers', 'Can you remove the chord in the back? I want to put this thing on my living room table.', ""@coolgeorgiaboy Hello, no, neither problem. The filter is very weak. A strong normal fish will never get stuck to an intake. Filter always runs, yes. You either want to run it, or don't. If you run it, shut it off, you will kill the good bacteria, then when you run it again you could kill your fish.Thank you."", '@shebaheartly ok ill try that', 'gravel would look good', ""Looks nice! What's the large plant called?"", ""Hello, If you do, you won't have any light or filtration. If you are going to do that, there is no point in getting this tank. There would be no waterfall effect. Just get a plain nano of this size. I think there are some called mr aquarium or something...and probably others."", 'I just bought/set up this same tank for my Betta and am concerned about the flow of the filter, specifically that it ""draws"" the Betta near the intake hole and causes him to have to constantly use his fins to swim the tank (as does yours seem to as well).  cont\'d below, please...', 'Not cleaning a tank for a year is foolish, and cruel.', '@lisajerryhowell .This tank is perfect for bettas, as it has little to no flow or surface movement. Zen is not drawn towards the intake at all, watch the video again. A healthy fish would never be pulled against the intake of this tank. He should be using his fins to swim. Bettas who just sit at the bottom of a cup or bowl,  doing nothing, make me sad. ', 'I have gravel in mine and the food just sits on top of it. And does your betta make the water cloudy or create this slimy stuff on top of the water?', '@coolgeorgiaboy i run my filter 24 hours fish jumping out no but his water is to low in picture also if you put water to high it drips down the cord so make sure you have nothing important around i thought my rank was leaking put gravel in tank to catch dirt and feed fish little by litttle so u keep water clean i had my chi for 1 year and never had to clean it p.s you have to fill tank every 3 days or else you will burn out your filter if water gets to low', ""He did great overnight and is much calmer in there this am. Seems very happy, actually. Thank you for responding. I think going from a stagnate bowl to any water flow threw him at first last night. I'm loving the tank! "", ""I just ordered the 6.6 gallon Chi.  Have you had any problems with your Betta Jumping out or getting stuck in the filter? Do you run your filter 24hrs. I LOVE your CHI it's beautiful."", ""I've read that Bettas prefer calm water and to rest on leaves and hide in foliage. I have aquarium silk plants and a leaf that attaches to a wall on a suction cup for him to rest upon but am sensing that he may only be able to if the light/filter are off. "", 'Does your betta have any trouble with the filter or flow? Also, what is that grass? ']",16,3
6,https://www.youtube.com/watch?v=ENtYzxIBd8U,634,"Jul 29, 2010",0,no Comments ,1,0
7,https://www.youtube.com/watch?v=Z4K_gsgKXrM,19184,"Feb 14, 2010",14,"['bellissima!!!!!!  ma cambia le borchie dei cerchi, non sono di questo modello ;)', 'My dream car! Grazie!', 'Spettacolare!!!', 'Prima o poi sarà mia!!!', ""L'ho posseduta nel 1970. Identica a questa ma con sedili neri. Prima di lei una Giulia Sprint 1600 nera con carrozzeria ancora simile a questa."", 'Giugiaaaaaaaaaaaaaro', 'Auto bellissima!!! Bello anche il video che permette di vedere bene i particolari dell auto. (unica cosa, non si capisce perché l italiota medio dice GIUNIOR che in italiano non si può sentire... IUNIOR, IUNIOR, IUNIOR !!!)', ""e' una bella macchina, complimenti. "", ""bellissima auto;io pero preferisco la serie unificata '74."", 'Grande auto ,ho un gt 2000 ,ma questa mi è rimasta nel cuore ,ne avevo una gemella alla tua venduta nel 2004 ,non fare il mio errore ,ciao', ""un auto fantastica una delle piu' belle sportive anni 60,linea mozzafiato sound incredibile e poi quel rosso e' perfetto,complimentoni per l'auto tienitela cara"", 'ciao, complimenti, una gran bella auto, ne ho una, ma eè completamente da rifare, puoi darmi qualche indicazione su dove trovare alcuni pezzi? saluti Da Palermo', ""Bella bestia, ma appena puoi cambia le calotte ruote e metti su le sue....quelle senza l'anello nero.\nciao"", 'Une voiture exceptionnelle, dans un état qui lui rend bien hommage. Un modèle racé, avec une classe unique et abordable, sans aucune démesure vulgaire. Mes compliments.']",56,3
8,https://www.youtube.com/watch?v=NNbRF02KnGM,1462,"Oct 18, 2010",4,"['awesome bro, yo kyle its ur cousin Patrick.  your uncle bill and i would like to see more of these videos please.  THX', 'amazing..kids  ,glad you had fun', 'Nice vid! it sure looks like the province has cleaned up some of the pavement on that road since i went through there last! Looks like a real blast! careful on that road, i know a bunch of guys that use it as a bit of a test track! ', ""Proof does you didn't run the bottom🚺""]",9,0
9,https://www.youtube.com/watch?v=QzR7LKJ-g3k,2475,"Jan 5, 2011",5,"['It is a Whirlton.', '@TheMagentaPoliceCar are you sure?', ""We have one in a church. It flushes so loud. That toilet In the chruch is the loudest crane hymont I've ever heard. Flushes like crazy."", 'On my video ""An odd Crane Hymont"", is the sides different than most Hymonts or I found another model of a Crane?', 'Not yet, but soon.']",3,0
